x,y
15319.005859375,8527.9794921875
15383.814453125,8528.6162109375
15524.51953125,8527.8994140625
15771.6328125,8527.4287109375
15476.8232421875,8535.7861328125
15376.0625,8541.068359375
15443.4423828125,8542.29296875
15410.044921875,8540.330078125
15578.419921875,8541.4228515625
15641.0263671875,8545.1357421875
15464.25,8549.3974609375
15525.0048828125,8549.869140625
16478.287109375,8550.583984375
15189.5341796875,8559.0751953125
15348.126953125,8562.9833984375
15193.4990234375,8572.587890625
15321.5673828125,8572.6396484375
15336.7939453125,8575.517578125
15354.7412109375,8576.416015625
15182.001953125,8577.7578125
15329.9736328125,8584.94921875
15266.26171875,8590.5556640625
15174.6201171875,8593.423828125
15191.205078125,8591.1669921875
15280.57421875,8591.478515625
15382.2431640625,8591.2392578125
15248.4150390625,8590.541015625
15294.20703125,8592.9873046875
15237.1513671875,8598.6767578125
15304.173828125,8601.5029296875
15337.1708984375,8600.388671875
15286.1357421875,8606.5361328125
15250.59375,8608.6943359375
15213.8837890625,8619.0546875
15176.765625,8621.0791015625
15159.931640625,8623.0341796875
15258.326171875,8626.919921875
15181.6181640625,8639.1572265625
15292.9267578125,8642.53125
15222.9111328125,8644.5009765625
15116.9365234375,8649.982421875
16445.533203125,8661.6015625
15106.6630859375,8796.1640625
15065.1123046875,8978.3759765625
15050.6611328125,8983.654296875
16467.853515625,9125.1494140625
15164.9462890625,9208.736328125
16123.857421875,9369.146484375
16258.6845703125,8764.73828125
15212.8408203125,8879.8173828125
15102.763671875,9224.9560546875
16246.2626953125,9228.1220703125
15728.2314453125,9495.9853515625
16317.462890625,8894.26953125
15735.3388671875,8666.5234375
15211.888671875,8893.7158203125
15944.05859375,9349.072265625
16389.912109375,8883.5703125
16064.4111328125,9373.8427734375
16284.791015625,9114.30859375
16161.4638671875,8659.935546875
16301.9794921875,8820.3388671875
15205.6328125,8958.4189453125
15147.5361328125,9018.4951171875
16219.1044921875,9218.4296875
15135.65234375,8951.3388671875
16292.080078125,8790.12109375
15149.5458984375,8961.3349609375
16248.060546875,8751.65234375
16304.92578125,8871.9599609375
16303.7177734375,8798.0048828125
15793.7099609375,9412.6455078125
16333.9345703125,8924.6962890625
15455.44140625,8806.4951171875
15190.5869140625,9173.03515625
15169.951171875,9171.677734375
15222.4677734375,9096.2939453125
16202.31640625,8747.4580078125
15224.9521484375,9126.6845703125
16228.6455078125,8854.7841796875
15247.8310546875,9021.60546875
16157.3271484375,8796.546875
16129.130859375,8778.908203125
16174.556640625,8808.275390625
15228.6865234375,9009.0205078125
15210.1640625,9030.3388671875
15264.0439453125,9129.0185546875
15193.3408203125,9030.884765625
15250.2158203125,9094.861328125
16108.9248046875,8752.681640625
16136.08984375,9181.619140625
15192.3779296875,9242.865234375
16186.8857421875,8751.9521484375
15234.0859375,9065.2880859375
15226.5673828125,9163.31640625
16217.0595703125,8811.3681640625
16138.810546875,8739.3115234375
16233.7333984375,8806.7421875
16273.81640625,8883.755859375
15181.302734375,9183.1748046875
16194.63671875,8863.603515625
15250.8095703125,9059.591796875
16291.2138671875,8861.0400390625
16220.453125,8869.7236328125
16289.0625,9029.490234375
15240.6884765625,9119.45703125
15245.9921875,9080.01953125
15246.4345703125,9145.232421875
15181.0341796875,9045.09375
15242.205078125,9134.181640625
15207.3271484375,9169.673828125
16260.884765625,8889.8603515625
16270.15625,8813.662109375
16066.2880859375,8778.5615234375
15289.9873046875,9122.8388671875
16060.271484375,8757.0986328125
16060.9072265625,8822.4638671875
16045.00390625,8784.4296875
16183.181640625,8862.50390625
15984.4833984375,8831.0302734375
16150.611328125,8824.7353515625
15952.451171875,8790.9521484375
15706.7275390625,8848.76171875
16172.8017578125,8864.921875
15745.7998046875,8871.994140625
16105.8564453125,8788.9228515625
16120.2880859375,8797.2880859375
16010.47265625,8775.7294921875
16015.919921875,9024.5029296875
15592.4296875,8999.8583984375
16015.4384765625,9044.3662109375
15918.3388671875,8932.3369140625
16094.90234375,8984.1767578125
16038.53125,8937.365234375
15777.9970703125,8923.3955078125
15964.8701171875,9074.982421875
15794.5546875,8882.640625
15876.599609375,8899.048828125
15846.6923828125,8918.306640625
16093.45703125,8960.68359375
15897.7109375,8865.333984375
15926.6708984375,8860.8154296875
15910.595703125,8872.5712890625
16037.6865234375,8911.4619140625
15565.9951171875,8982.4052734375
15890.181640625,8876.90625
16066.341796875,8906.15625
15695.458984375,9458.3193359375
15580.2041015625,9463.1123046875
15669.6064453125,9489.8330078125
16286.0947265625,8805.228515625
16098.69921875,8646.7685546875
15956.001953125,8590.7724609375
16390.888671875,8666.416015625
16410.2109375,8595.353515625
