x,y
15469.0,9121.0
15469.0,9134.0
15470.0,9134.0
15470.0,9135.0
15472.0,9135.0
15472.0,9136.0
15474.0,9136.0
15474.0,9137.0
15476.0,9137.0
15476.0,9136.0
15478.0,9136.0
15478.0,9135.0
15480.0,9135.0
15480.0,9134.0
15482.0,9134.0
15482.0,9133.0
15485.0,9133.0
15485.0,9132.0
15488.0,9132.0
15488.0,9133.0
15489.0,9133.0
15489.0,9134.0
15491.0,9134.0
15491.0,9135.0
15493.0,9135.0
15493.0,9136.0
15495.0,9136.0
15495.0,9137.0
15498.0,9137.0
15498.0,9138.0
15507.0,9138.0
15507.0,9137.0
15512.0,9137.0
15512.0,9136.0
15518.0,9136.0
15518.0,9135.0
15521.0,9135.0
15521.0,9134.0
15524.0,9134.0
15524.0,9133.0
15525.0,9133.0
15525.0,9132.0
15526.0,9132.0
15526.0,9131.0
15531.0,9131.0
15531.0,9132.0
15534.0,9132.0
15534.0,9133.0
15539.0,9133.0
15539.0,9132.0
15542.0,9132.0
15542.0,9131.0
15546.0,9131.0
15546.0,9130.0
15548.0,9130.0
15548.0,9129.0
15552.0,9129.0
15552.0,9128.0
15561.0,9128.0
15561.0,9127.0
15564.0,9127.0
15564.0,9126.0
15567.0,9126.0
15567.0,9125.0
15574.0,9125.0
15574.0,9124.0
15578.0,9124.0
15578.0,9123.0
15580.0,9123.0
15580.0,9122.0
15584.0,9122.0
15584.0,9121.0
15588.0,9121.0
15588.0,9120.0
15592.0,9120.0
15592.0,9119.0
15597.0,9119.0
15597.0,9118.0
15602.0,9118.0
15602.0,9117.0
15604.0,9117.0
15604.0,9118.0
15606.0,9118.0
15606.0,9117.0
15608.0,9117.0
15608.0,9116.0
15609.0,9116.0
15609.0,9115.0
15610.0,9115.0
15610.0,9112.0
15611.0,9112.0
15611.0,9110.0
15612.0,9110.0
15612.0,9108.0
15613.0,9108.0
15613.0,9107.0
15614.0,9107.0
15614.0,9106.0
15615.0,9106.0
15615.0,9105.0
15616.0,9105.0
15616.0,9104.0
15617.0,9104.0
15617.0,9101.0
15616.0,9101.0
15616.0,9100.0
15620.0,9100.0
15620.0,9101.0
15629.0,9101.0
15629.0,9102.0
15628.0,9102.0
15628.0,9103.0
15626.0,9103.0
15626.0,9104.0
15630.0,9104.0
15630.0,9103.0
15631.0,9103.0
15631.0,9102.0
15634.0,9102.0
15634.0,9103.0
15635.0,9103.0
15635.0,9104.0
15636.0,9104.0
15636.0,9105.0
15637.0,9105.0
15637.0,9106.0
15642.0,9106.0
15642.0,9105.0
15644.0,9105.0
15644.0,9104.0
15646.0,9104.0
15646.0,9103.0
15650.0,9103.0
15650.0,9102.0
15652.0,9102.0
15652.0,9101.0
15654.0,9101.0
15654.0,9100.0
15656.0,9100.0
15656.0,9099.0
15657.0,9099.0
15657.0,9098.0
15660.0,9098.0
15660.0,9097.0
15662.0,9097.0
15662.0,9096.0
15666.0,9096.0
15666.0,9095.0
15668.0,9095.0
15668.0,9094.0
15671.0,9094.0
15671.0,9095.0
15676.0,9095.0
15676.0,9094.0
15684.0,9094.0
15684.0,9095.0
15688.0,9095.0
15688.0,9094.0
15689.0,9094.0
15689.0,9093.0
15691.0,9093.0
15691.0,9092.0
15693.0,9092.0
15693.0,9091.0
15697.0,9091.0
15697.0,9090.0
15700.0,9090.0
15700.0,9089.0
15704.0,9089.0
15704.0,9088.0
15710.0,9088.0
15710.0,9087.0
15713.0,9087.0
15713.0,9086.0
15720.0,9086.0
15720.0,9085.0
15724.0,9085.0
15724.0,9084.0
15727.0,9084.0
15727.0,9083.0
15730.0,9083.0
15730.0,9082.0
15731.0,9082.0
15731.0,9081.0
15735.0,9081.0
15735.0,9080.0
15740.0,9080.0
15740.0,9079.0
15742.0,9079.0
15742.0,9078.0
15744.0,9078.0
15744.0,9077.0
15750.0,9077.0
15750.0,9076.0
15757.0,9076.0
15757.0,9075.0
15760.0,9075.0
15760.0,9073.0
15761.0,9073.0
15761.0,9072.0
15763.0,9072.0
15763.0,9071.0
15765.0,9071.0
15765.0,9070.0
15766.0,9070.0
15766.0,9069.0
15767.0,9069.0
15767.0,9068.0
15769.0,9068.0
15769.0,9067.0
15770.0,9067.0
15770.0,9066.0
15776.0,9066.0
15776.0,9064.0
15778.0,9064.0
15778.0,9063.0
15786.0,9063.0
15786.0,9062.0
15787.0,9062.0
15787.0,9061.0
15797.0,9061.0
15797.0,9060.0
15798.0,9060.0
15798.0,9059.0
15801.0,9059.0
15801.0,9058.0
15804.0,9058.0
15804.0,9057.0
15806.0,9057.0
15806.0,9056.0
15809.0,9056.0
15809.0,9055.0
15812.0,9055.0
15812.0,9054.0
15816.0,9054.0
15816.0,9053.0
15820.0,9053.0
15820.0,9052.0
15821.0,9052.0
15821.0,9051.0
15828.0,9051.0
15828.0,9050.0
15833.0,9050.0
15833.0,9052.0
15832.0,9052.0
15832.0,9053.0
15828.0,9053.0
15828.0,9054.0
15827.0,9054.0
15827.0,9056.0
15828.0,9056.0
15828.0,9057.0
15829.0,9057.0
15829.0,9058.0
15839.0,9058.0
15839.0,9057.0
15840.0,9057.0
15840.0,9056.0
15844.0,9056.0
15844.0,9054.0
15842.0,9054.0
15842.0,9053.0
15840.0,9053.0
15840.0,9052.0
15838.0,9052.0
15838.0,9051.0
15835.0,9051.0
15835.0,9050.0
15838.0,9050.0
15838.0,9049.0
15840.0,9049.0
15840.0,9048.0
15841.0,9048.0
15841.0,9047.0
15843.0,9047.0
15843.0,9046.0
15844.0,9046.0
15844.0,9045.0
15845.0,9045.0
15845.0,9044.0
15846.0,9044.0
15846.0,9043.0
15845.0,9043.0
15845.0,9042.0
15843.0,9042.0
15843.0,9041.0
15838.0,9041.0
15838.0,9042.0
15835.0,9042.0
15835.0,9041.0
15829.0,9041.0
15829.0,9042.0
15825.0,9042.0
15825.0,9043.0
15822.0,9043.0
15822.0,9042.0
15821.0,9042.0
15821.0,9039.0
15820.0,9039.0
15820.0,9037.0
15818.0,9037.0
15818.0,9038.0
15816.0,9038.0
15816.0,9039.0
15815.0,9039.0
15815.0,9040.0
15813.0,9040.0
15813.0,9037.0
15814.0,9037.0
15814.0,9036.0
15815.0,9036.0
15815.0,9034.0
15816.0,9034.0
15816.0,9032.0
15817.0,9032.0
15817.0,9029.0
15818.0,9029.0
15818.0,9025.0
15819.0,9025.0
15819.0,9023.0
15823.0,9023.0
15823.0,9024.0
15822.0,9024.0
15822.0,9025.0
15823.0,9025.0
15823.0,9026.0
15824.0,9026.0
15824.0,9025.0
15825.0,9025.0
15825.0,9023.0
15826.0,9023.0
15826.0,9022.0
15827.0,9022.0
15827.0,9021.0
15828.0,9021.0
15828.0,9020.0
15829.0,9020.0
15829.0,9021.0
15830.0,9021.0
15830.0,9022.0
15829.0,9022.0
15829.0,9024.0
15832.0,9024.0
15832.0,9023.0
15833.0,9023.0
15833.0,9022.0
15835.0,9022.0
15835.0,9021.0
15838.0,9021.0
15838.0,9020.0
15840.0,9020.0
15840.0,9019.0
15842.0,9019.0
15842.0,9018.0
15843.0,9018.0
15843.0,9017.0
15844.0,9017.0
15844.0,9015.0
15845.0,9015.0
15845.0,9014.0
15846.0,9014.0
15846.0,9013.0
15847.0,9013.0
15847.0,9012.0
15848.0,9012.0
15848.0,9011.0
15849.0,9011.0
15849.0,9010.0
15850.0,9010.0
15850.0,9009.0
15851.0,9009.0
15851.0,9008.0
15852.0,9008.0
15852.0,9007.0
15855.0,9007.0
15855.0,9006.0
15856.0,9006.0
15856.0,9005.0
15857.0,9005.0
15857.0,9004.0
15858.0,9004.0
15858.0,9003.0
15860.0,9003.0
15860.0,9002.0
15861.0,9002.0
15861.0,9001.0
15863.0,9001.0
15863.0,9000.0
15867.0,9000.0
15867.0,8999.0
15870.0,8999.0
15870.0,8998.0
15871.0,8998.0
15871.0,8994.0
15872.0,8994.0
15872.0,8993.0
15873.0,8993.0
15873.0,8992.0
15875.0,8992.0
15875.0,8991.0
15877.0,8991.0
15877.0,8990.0
15885.0,8990.0
15885.0,8992.0
15884.0,8992.0
15884.0,8993.0
15883.0,8993.0
15883.0,8994.0
15882.0,8994.0
15882.0,8995.0
15880.0,8995.0
15880.0,8996.0
15877.0,8996.0
15877.0,8997.0
15876.0,8997.0
15876.0,8998.0
15875.0,8998.0
15875.0,8999.0
15874.0,8999.0
15874.0,9003.0
15873.0,9003.0
15873.0,9004.0
15872.0,9004.0
15872.0,9005.0
15870.0,9005.0
15870.0,9006.0
15867.0,9006.0
15867.0,9007.0
15864.0,9007.0
15864.0,9008.0
15861.0,9008.0
15861.0,9009.0
15858.0,9009.0
15858.0,9010.0
15856.0,9010.0
15856.0,9011.0
15855.0,9011.0
15855.0,9016.0
15854.0,9016.0
15854.0,9019.0
15855.0,9019.0
15855.0,9021.0
15856.0,9021.0
15856.0,9022.0
15857.0,9022.0
15857.0,9024.0
15856.0,9024.0
15856.0,9025.0
15854.0,9025.0
15854.0,9026.0
15853.0,9026.0
15853.0,9027.0
15851.0,9027.0
15851.0,9028.0
15850.0,9028.0
15850.0,9029.0
15848.0,9029.0
15848.0,9030.0
15846.0,9030.0
15846.0,9031.0
15845.0,9031.0
15845.0,9035.0
15847.0,9035.0
15847.0,9036.0
15849.0,9036.0
15849.0,9037.0
15851.0,9037.0
15851.0,9038.0
15852.0,9038.0
15852.0,9039.0
15853.0,9039.0
15853.0,9040.0
15856.0,9040.0
15856.0,9041.0
15860.0,9041.0
15860.0,9040.0
15862.0,9040.0
15862.0,9041.0
15863.0,9041.0
15863.0,9042.0
15864.0,9042.0
15864.0,9043.0
15865.0,9043.0
15865.0,9044.0
15867.0,9044.0
15867.0,9045.0
15869.0,9045.0
15869.0,9046.0
15872.0,9046.0
15874.0,9046.0
15874.0,9045.0
15877.0,9045.0
15877.0,9044.0
15879.0,9044.0
15879.0,9043.0
15881.0,9043.0
15881.0,9042.0
15883.0,9042.0
15883.0,9041.0
15890.0,9041.0
15890.0,9040.0
15893.0,9040.0
15893.0,9039.0
15895.0,9039.0
15895.0,9038.0
15898.0,9038.0
15898.0,9037.0
15899.0,9037.0
15899.0,9036.0
15902.0,9036.0
15902.0,9035.0
15905.0,9035.0
15905.0,9034.0
15908.0,9034.0
15908.0,9033.0
15910.0,9033.0
15910.0,9032.0
15912.0,9032.0
15912.0,9031.0
15913.0,9031.0
15913.0,9030.0
15917.0,9030.0
15917.0,9029.0
15920.0,9029.0
15920.0,9028.0
15926.0,9028.0
15926.0,9027.0
15930.0,9027.0
15930.0,9026.0
15931.0,9026.0
15931.0,9025.0
15932.0,9025.0
15932.0,9024.0
15933.0,9024.0
15933.0,9023.0
15935.0,9023.0
15935.0,9022.0
15936.0,9022.0
15936.0,9021.0
15938.0,9021.0
15938.0,9020.0
15940.0,9020.0
15940.0,9019.0
15942.0,9019.0
15942.0,9018.0
15947.0,9018.0
15947.0,9017.0
15952.0,9017.0
15952.0,9016.0
15956.0,9016.0
15956.0,9015.0
15958.0,9015.0
15958.0,9014.0
15959.0,9014.0
15959.0,9013.0
15960.0,9013.0
15960.0,9012.0
15956.0,9012.0
15956.0,9013.0
15954.0,9013.0
15954.0,9014.0
15950.0,9014.0
15950.0,9012.0
15951.0,9012.0
15951.0,9010.0
15953.0,9010.0
15953.0,9009.0
15955.0,9009.0
15955.0,9008.0
15959.0,9008.0
15959.0,9009.0
15961.0,9009.0
15961.0,9010.0
15964.0,9010.0
15964.0,9009.0
15968.0,9009.0
15968.0,9008.0
15969.0,9008.0
15969.0,9007.0
15970.0,9007.0
15970.0,9006.0
15972.0,9006.0
15972.0,9005.0
15975.0,9005.0
15975.0,9004.0
